name;operator;city;postcode;street;housenumber;amenity;office;shop;geom
Croatia Wineimport;;;;;;;;wine;0101000020E610000050EB9161700C244013503CC2C4C54A40
City BKK;;;;;;;insurance;;0101000020E6100000B25879B8D30C2440599F1793A3C54A40
Barmer GEK;;;;;;;insurance;;0101000020E6100000B304BE47A20C244029BC5F60B1C54A40
Kiosk in den Tri Towers;;;;;;;;kiosk;0101000020E6100000471A811DA40C2440146DD800B6C54A40
Sparda-Bank;Sparda-Bank;;;;;bank;;;0101000020E6100000FD8458A2586B244059CC632882BE4A40
Tappendorf's Frisurenmode;;;;;;;;hairdresser;0101000020E61000009C374E0AF33A244048A98427F4CF4A40
Eis Livotto;;;;;;;;ice_cream;0101000020E61000001373FF475CFA2340516B9A779CC74A40
Bäckerei Hönig;;;;;;;;bakery;0101000020E6100000E47D665AAC122440BE816ED4AFCA4A40
Dehnhaide Kiosk & Getränkemarkt;;;;;;;;kiosk;0101000020E6100000BE4C1421751324405D363AE7A7CA4A40
Mannigel;;;;;;;;jewelry;0101000020E6100000A24B93AD89B42340F8AB00DF6DBC4A40
Ernst Fleisch und Wurstwaren;;;;;;;;butcher;0101000020E61000009D8DF051DAAE2340F172C7516FBC4A40
Restaurant Festos;;;;;;restaurant;;;0101000020E61000005B86EE48ABAC2340FCE3BD6A65BC4A40
Arktis Eiscafe;;;;;;cafe;;;0101000020E610000013C19371E7A92340A785819D51BC4A40
Budnikowsky;;Neu Wulmstorf;21629;Bahnhofstraße;31;;;chemist;0101000020E6100000A9B17389D99523403A8375D2B1BB4A40
Mr. Kebab;;Neu Wulmstorf;21629;Bahnhofstraße;;fast_food;;;0101000020E6100000B08E88CED7952340FF3FF3DEBDBB4A40
Rossmann;Dirk Rossmann GmbH;Neu Wulmstorf;21629;Bahnhofstraße;33-37;;;chemist;0101000020E61000005717A6A5A89523400C4856D9D2BB4A40
Mardt;;;;;;;;florist;0101000020E61000003E810B0D1F382440C7C848AC7BD34A40
Budnikowsky;;Hamburg;22393;Saseler Markt;14a;;;chemist;0101000020E61000008365112FF43924407C1E92109BD34A40
;;;;;;;;beekeeper;0101000020E610000090076C184F3A2440F8FE06EDD5D34A40
Rathauspassage;;;;;;;;mall;0101000020E61000004EA6C0B80AFC2340B91160A28BC64A40
Schalloch Musikhandel GmbH;;Hamburg;20357;Karolinenstraße;4-5;;;musical_instrument;0101000020E61000003C5FFDE950F323406B2519DE51C74A40
Marquardt's Apotheke;;Hamburg;21033;Friedrich-Frank-Bogen;87-89;pharmacy;;;0101000020E6100000C10BB66C085D24406BDCF698A3BE4A40
Edeka;Edeka;Hamburg;21035;Edith-Stein-Platz;4;;;supermarket;0101000020E610000081D82D5D1C5C24407F8B4E965ABE4A40
Rewe;;;;;;;;supermarket;0101000020E61000005EEB9CB00E0D24407E5AA038DBCA4A40
konRADfiets;Konrad Griep;Hamburg;22303;Jarrestraße;29;;;bicycle;0101000020E6100000A23891AA370C2440D2E231A8DBCA4A40
Netto;;;;;;;;supermarket;0101000020E61000004228EFE36806244048F883262ED34A40
Fahrradhaus Scholz;;;;;;;;bicycle;0101000020E610000003B2D7BB3F062440815D4D9EB2D24A40
Volksbank Winsener Marsch eG;;;;;;bank;;;0101000020E610000074B44F6CAA872440F67A9C0E09B54A40
;;;;;;;;greengrocer;0101000020E6100000A31694B3C11F244090C18A53ADC74A40
Dat Backhus;;;;;;;;bakery;0101000020E610000051A6D1E462FC2340CC61F71DC3C64A40
La Fée;;Hamburg;22085;Hofweg;50;restaurant;;;0101000020E6100000A8F1C1210A0824405699CEF34CC94A40
Fardi;;Hamburg;22085;Hofweg;72;restaurant;;;0101000020E610000099744AF6BE072440B900344A97C94A40
Fleester Markt-Apotheke;;;;;;pharmacy;;;0101000020E61000007CC102F3EBFA2340C44BCBA376B44A40
Mio;;;20354;Jungfernstieg;58;restaurant;;;0101000020E6100000D5E6A49CD4FC234017A5DF19C8C64A40
;;;;;;;;car;0101000020E6100000E78CCD339BD8234047B3B27DC8CB4A40
Alstercafe;;Hamburg;22087;Ifflandstraße;45;;;bakery;0101000020E610000067D828EB370B2440E01B9EB9E2C74A40
Da Caio;;;;;;restaurant;;;0101000020E610000019F2BEE089072440746D5E8BCCC74A40
Blumenhaus Wulf;;Hamburg;22087;Ifflandstraße;85;;;florist;0101000020E6100000CBE48A41160C2440F04229102CC84A40
M.S.C.;;;;;;;;bicycle;0101000020E61000003CCBE2B496F42340AAF6E978CCC94A40
Esso;;Hamburg;22303;Barmbeker Straße;86;fuel;;convenience;0101000020E6100000E9DFE46D5B062440267BDF5394CB4A40
Aldi;ALDI GmbH & Co. KG, Horst;Hamburg;20144;Grindelberg;27-29;;;supermarket;0101000020E61000001B22B8DB3FF42340F164DC7987C94A40
S.Z. Fahrradservice;Azimi M. Tamim;;;Grindelberg;39;;;bicycle;0101000020E61000003D65355D4FF42340FFBA2E579AC94A40
Budni;;;;;;;;chemist;0101000020E6100000ADD161742FEE2340C183B064D8C74A40
Hansa Steg;;;;;;cafe;;;0101000020E6100000543A58FFE7042440747C597FF0C84A40
Kajüte;;Hamburg;20099;An der Alster;10a;restaurant;;;0101000020E610000096B6B8C66706244072D17FC5D0C74A40
La Dolce Vita;;;;;;cafe;;;0101000020E61000006AEF9DE2820524409E0E643DB5C74A40
a.mora;;;20099;An der Alster;;cafe;;;0101000020E61000008E4127840E02244066074B2B74C74A40
Jim Block;;Hamburg;20099;Kirchenallee;37;fast_food;;;0101000020E6100000283E88AE550424405A5F6E4100C74A40
Extratour;;Hamburg;20144;Schlankreye;73;;;outdoor;0101000020E610000054BAAAA22EF4234080F9BF7EE3C94A40
Palazzo;;Hamburg;20149;Rothenbaumchaussee;;restaurant;;;0101000020E6100000BFEE192E17FA2340F63D8FF6E4C94A40
toto;;;;;;restaurant;;;0101000020E610000012ED743117FA2340D4FD52F5E1C94A40
VideoParadies;;;;;;;;video;0101000020E6100000C22F9A3A3455244082A6CA9CD3CF4A40
Journal Schabani;;;;;;post_office;;kiosk;0101000020E610000037CC2B32955524402C9E7AA4C1CF4A40
Subway;;;;;;fast_food;;;0101000020E61000009648FD50C4FD2340FBD3A12EADC64A40
Albers Bar;;Hamburg;20359;Reeperbahn;102;bar;;;0101000020E610000023516859F7EB2340EE68D25C5DC64A40
Albatros Apotheke;;Hamburg;20359;Hein-Köllisch-Platz;1;pharmacy;;;0101000020E6100000C352B8793EEA2340EDD6D75F1BC64A40
Hamburger Sparkasse;Hamburger Sparkasse;;;;;bank;;;0101000020E61000006381AFE8D6F723401A2B7B5C65C84A40
ICH Grindel;;;;;;doctors;;;0101000020E6100000805A56ABC0F623402D5D667D6FC84A40
Budnikowsky;;;;;;;;chemist;0101000020E6100000967F8868CFEC2340D413F131B3C64A40
U-Store;;;;;;;;kiosk;0101000020E61000001DA21BABDEF323406A317898F6C94A40
Lidl;;;;;;;;supermarket;0101000020E6100000AE94AF157EDE234064096B63ECCA4A40
Apotheke am Lohmühlenpark;Ilker Iskin;Hamburg;20099;Steindamm;105;pharmacy;;;0101000020E6100000EA753007E6092440910DA48B4DC74A40
Lidl;;;;;;;;supermarket;0101000020E6100000475046A68DE823401BE148FB7ACA4A40
Ristorante Franco;;;;;;restaurant;;;0101000020E61000009B7FAAC07FF923408BD8710D7DCB4A40
Deutsche Bank;Deutsche Bank;;;;;bank;;;0101000020E610000038B23C597BF92340F267D36C79CB4A40
;;Hamburg;22335;Alsterkrugchaussee;603;;;kiosk;0101000020E61000001E2E837BAF07244079F41A16FED04A40
Literaturhaus Cafe;;;;;;cafe;;;0101000020E61000006594C21781082440CC86904EB8C84A40
Lottbek-Apotheke;;Ammersbek;22949;Hamburger Straße;97;pharmacy;;;0101000020E61000008FFF0241804C244095B31C8DE8D64A40
;;;;;;;;clothes;0101000020E61000004E8EF11769F42340AFF776A62BC94A40
Karen's Konditorei;;;;;;;;bakery;0101000020E6100000928D51E806F42340EFA0C84917C94A40
Stadtbäckerei;;Hamburg;20144;Beim Schlump;3;;;bakery;0101000020E6100000556419879FF423405B16026F37C94A40
Der Grüne Laden;;Hamburg;20144;Isestraße;20;;;convenience;0101000020E6100000D305ABA058F5234069FBFC9C27CA4A40
Hans-Otto Beute;;;;;;;;furniture;0101000020E61000005477C0D07E03244024E9E45652CA4A40
Starbucks Coffee;;;;;;cafe;;;0101000020E61000000A0B389556F92340E71C3C139ACB4A40
Konditorei Lindtner;;Hamburg;20249;Eppendorfer Landstraße;88;cafe;;;0101000020E6100000078CE4E1F3F92340D33252EFA9CB4A40
Ise Apotheke;;Hamburg;20144;Klosterallee;80;pharmacy;;;0101000020E61000002F72AA10EAF52340DFB29EB536CA4A40
Heinrich Fricke KG;;;;Warnstedtstraße;;;;butcher;0101000020E6100000B1C22D1F49DD2340B7007ED7B1CA4A40
Kiosk;;;;;;;;kiosk;0101000020E61000002210F97832F52340FB9FB25021CA4A40
Achilleon;;;;;;restaurant;;;0101000020E6100000B0FD09D39C7124405B0BB3D0CEBD4A40
ono;;;;;;restaurant;;;0101000020E610000024AD4214DDF42340AAFCC63258CA4A40
Isi Grill;;;;;;fast_food;;;0101000020E61000002A5F2BFC744B24404CFD61F0D5D64A40
Ditsch;;;;;;fast_food;;;0101000020E61000007E04FEF0F3F32340DA9832CBF9C94A40
Balzac Coffee;;Hamburg;20099;Danziger Straße;70;cafe;;;0101000020E6100000DF567A6D36062440AE88F5A166C74A40
EATaliano;;Hamburg;20099;Lange Reihe;40;restaurant;;;0101000020E610000071F37CBC460524404598ECE934C74A40
Optiker Bode;;Hamburg;20354;Colonnaden;;;;optician;0101000020E61000004422235635FB234005E5113702C74A40
An An;;;;;;fast_food;;;0101000020E6100000A306D3307C0424400D36751E15C74A40
bob;;Hamburg;20099;Kirchenallee;19;;;clothes;0101000020E61000004BB9B18F04042440B90B83E8FFC64A40
Lidl;;;;;;;;supermarket;0101000020E6100000CF8B6E1860EA234081A1A24511CE4A40
Wasch Center;;;;;;;;laundry;0101000020E6100000CF05E4011B1624403FD301FF4ACC4A40
Trekking König.de;;Hamburg;20354;Colonnaden;29;;;outdoor;0101000020E6100000CED94CCF05FB2340EE92DD712FC74A40
Balzac Coffee;;Hamburg;20354;Gustav-Mahler-Platz;1;cafe;;;0101000020E61000005E0DF560F7FA2340EF59D76839C74A40
Roth's alte englische Apotheke;;Hamburg;20354;Jungfernstieg;;pharmacy;;;0101000020E61000009D7EF55DB6FA2340C30C326E0FC74A40
Schanzenbäckerei;;;;;;;;bakery;0101000020E61000009124AD9DCDFF2340227CDE4378C64A40
gerry weber;;Hamburg;20354;Jungfernstieg;26;;;clothes;0101000020E61000007F726FD97CFB23401543CDEBE3C64A40
Bucherer;;Hamburg;20354;Jungfernstieg;25;;;jewelry;0101000020E6100000296E26F098FB234060B1868BDCC64A40
Commerzbank;;Hamburg;20354;Jungfernstieg;22;bank;;;0101000020E6100000C991CEC0C8FB2340812AC995D5C64A40
geox;;Hamburg;20354;Jungfernstieg;7;;;clothes;0101000020E6100000CB225EE85BFC2340C2638918C0C64A40
Mö Grill;;;;;;fast_food;;;0101000020E610000062C499BA86FC2340E15A92A8BCC64A40
Wempe;;Hamburg;20354;Jungfernstieg;8;;;jewelry;0101000020E6100000033ADDC36FFC2340476EF200BBC64A40
Jim Block;;Hamburg;20095;Jungfernstieg;;restaurant;;;0101000020E6100000EC26423404FD2340324CB7369EC64A40
Bank of China;;;;;;bank;;;0101000020E61000002EE6E786A6FC2340826B38769AC64A40
G-STAR RAW;;Hamburg;20095;Bergstraße;17;;;clothes;0101000020E61000004A1E99582AFD2340F6AE8BEC94C64A40
Appelrath-Cüpper;;Hamburg;20095;Mönckebergstraße;15;;;clothes;0101000020E6100000B4E496FB89FF2340E0B42AD379C64A40
SØR;;Hamburg;20095;Bergstraße;16;;;clothes;0101000020E6100000D4388A62A8FD23407E13549E8AC64A40
Görtz;;Hamburg;20095;Spitalerstraße;;;;shoes;0101000020E6100000E15520C4DF0024404F98309A95C64A40
elsner Schuhe;;Hamburg;20095;Mönckebergstraße;11;;;shoes;0101000020E61000005BD9999DA0002440C8478B3386C64A40
Starbucks Coffee;;;;;;cafe;;;0101000020E6100000141ED9017C002440682E26EC91C64A40
Claire's;;;;;;;;jewelry;0101000020E61000005F865A2E7602244091FE4DDEB6C64A40
Peek&Cloppenburg;;;;;;;;clothes;0101000020E61000004215EDE016022440979E9F98ABC64A40
Leon;;Hamburg;20099;Koppel;1;restaurant;;;0101000020E610000042F79B3F5C04244068017F9D40C74A40
Bootshaus zur Außenmühle;;;;;;restaurant;;;0101000020E610000029E9616875F623406BCC35165EB94A40
Manufactum;;;;;;;;department_store;0101000020E6100000A5846055BD002440934FD9FA33C64A40
Hamburger Sparkasse;Hamburger Sparkasse;;;;;bank;;;0101000020E610000077A79608AF002440CDAC4AC741C64A40
Kumpir König;;;;Schanzenstraße;;fast_food;;;0101000020E61000002603401537EE2340D081E50819C84A40
;;;;;;;;kiosk;0101000020E61000006089512168F62340E935D1425DB94A40
Höpermann;Höpermann;;;;;;;butcher;0101000020E61000006ADD06B5DF6E234094FF249930CA4A40
REWE City;;Hamburg;20537;Hammer Landstraße;76;;;supermarket;0101000020E61000008CD3B59B851A244041D829560DC74A40
Der Grieche;;Hamburg;20537;Hammer Landstraße;70;restaurant;;;0101000020E6100000659126DE011A2440DB20EE450FC74A40
Humboldt-Apotheke;Günter Hartwig;Hamburg;20537;Hammer Landstraße;88;pharmacy;;;0101000020E61000005C9B7C69401B24400BD9D4D40DC74A40
McDonald's;;;;;;fast_food;;;0101000020E6100000B0B783C76DEE23401B7222B028C84A40
;;;;;;;;kiosk;0101000020E6100000F360E696B10C2440C79BA15D2AC84A40
Stolterfoth;;Hamburg;20149;Rothenbaumchaussee;100;;;books;0101000020E6100000C1A673EA6FFA2340C4CF7F0F5EC94A40
