name;operator;network;wheelchair;geom
Wedel, Krankenhaus;;;;0101000020E610000045D7851F9C5B234027A199CC1DCD4A40
U Farmsen;;;yes;0101000020E610000004B573F5BE3C2440BC3E73D6A7CD4A40
Fährenkamp;;;;0101000020E6100000FEC9294BBE6F234079DAD08371CE4A40
Sydneystraße;;;;0101000020E61000000BC67718490924400E1C2B8C88CD4A40
Farmsen;;;yes;0101000020E6100000EF152708683C2440D8906E3AB8CD4A40
U Farmsen;;;yes;0101000020E6100000F975960FF73B24403AB4C876BECD4A40
Sydneystraße;;;;0101000020E6100000A4BB35FAE2082440CDE1A47A7CCD4A40
Poppenbüttler Markt;;;;0101000020E6100000C44B265DE92B2440D2393FC571D44A40
Trabrennbahn;;;yes;0101000020E61000009A4A9A9A5F342440DF30766792CC4A40
Gymnasium Marienthal;;;;0101000020E61000005B73918CE63624403AECBE6378C84A40
Beckedorf, Ort;;;;0101000020E61000000F400F5AB4ED2340F64F262488B54A40
Wentorfer Straße;;;;0101000020E61000005B4EF85BF17724408D77915385BE4A40
Garstedt, Gewerbe im Park;;;;0101000020E61000003FF3284B63F62340CF763BB13DD54A40
Am Güterbahnhof;;;;0101000020E61000005B8EA1AD946724406043CB1539BE4A40
Garstedt, Gewerbe im Park;;;;0101000020E6100000C301E3CFA6F52340AA38C42E40D54A40
Nincoper Straße 28;;;;0101000020E6100000AFC9BF3B9EA323404D7B945BA4C14A40
Alte Wöhr (Stadtpark);DB Netz AG;HVV;;0101000020E6100000A86ACC3516122440680B08AD87CC4A40
Garstedt;;;yes;0101000020E61000009749C3DFE5F82340ECE7A8FE9CD74A40
Voßmoor, Brombeerweg;;;;0101000020E6100000ED7195DD829B24400BE764F382B94A40
Nincoper Straße 99;;;;0101000020E61000007A628CFE869B2340AD399BE9B9C14A40
Vierlandenstraße;;;;0101000020E610000020DDBEFD6F6B2440685CDD561FBE4A40
Voßmoor, Kiefernweg;;;;0101000020E61000002CDC4D4B079E244029DA0BBBDEB84A40
Hamburg Dammtor;;;;0101000020E610000084CAAE6AFFF923400F869565E3C74A40
Hamburg-Altona;DB Netz AG;;;0101000020E61000001DAED51EF6DE2340E0B3BFFDCAC64A40
Hamburg-Altona;DB Netz AG;;;0101000020E610000098BAD001EEDE2340042E7E09CBC64A40
Hamburg-Altona;DB Netz AG;;;0101000020E61000008C2E6F0ED7DE2340DADCE22BCBC64A40
Hamburg-Altona;DB Netz AG;;;0101000020E610000050BF55E8CDDE2340C2244B9CCBC64A40
Hamburg-Altona;DB Netz AG;;;0101000020E610000087D2CDB4B3DE2340A4816962CBC64A40
Hamburg-Altona;DB Netz AG;;;0101000020E6100000082C6FFDAADE2340C8FB276ECBC64A40
Hamburg-Altona;DB Netz AG;;;0101000020E61000002D301AE890DE23408668BE94CBC64A40
Hamburg-Altona;DB Netz AG;;;0101000020E6100000C5BC7D0C0CDF2340370186E5CFC64A40
Hagenbecks Tierpark;;;;0101000020E610000040D1860D60E323408091E1C2CBCB4A40
Blankenese;S-Bahn Hamburg;HVV;;0101000020E61000007CABBF6F8DA1234074D712F241C84A40
Hamburg Dammtor;;;;0101000020E61000000A432E8210FA2340025CDABAE5C74A40
Stüffeleck;;;;0101000020E610000037678EF689492440FFC3A74AA5D54A40
Hamburg Dammtor;;;;0101000020E61000008920730A97FA23405821E527D5C74A40
Stüffel;;;;0101000020E6100000F36ED16E99442440216F0388CCD54A40
Stüffel;;;;0101000020E6100000CD4642B687442440FDDA9F30CDD54A40
Fiersbarg;;;;0101000020E610000068C1D54B9D312440948C9C853DD84A40
Fiersbarg;;;;0101000020E6100000915FE40A943124400DD06C0D5BD84A40
Lemsahler Dorfstraße;;;;0101000020E6100000E67EE25BB33424408D2B2E8ECAD74A40
Tannenhof;;;;0101000020E610000012C53FC7A23024407D85BB69E9D74A40
